X,Y
0,32056.0
1,29670.0
2,26488.0
3,32603.0
4,32715.0
5,32784.0
6,32719.0
7,35079.0
8,28807.0
9,30680.0
10,31734.0
11,31987.0
12,30934.0
13,30340.0
14,30017.0
15,29823.0
16,30485.0
17,31880.0
18,31544.0
19,31926.0
20,33041.0
21,30809.0
22,33946.0
23,33215.0
24,31563.0
25,31015.0
26,29936.0
27,29716.0
28,30337.0
29,34407.0
30,35086.0
31,29857.0
32,29717.0
33,28074.0
34,31721.0
35,28156.0
36,33836.0
37,34808.0
38,28127.0
39,31190.0
40,26956.0
41,24460.0
42,28910.0
43,40452.0
44,35155.0
45,39501.0
46,23287.0
47,20419.0
48,22211.0
49,25524.0
50,38969.0
51,33901.0
52,22902.0
53,20149.0
54,19894.0
55,19169.0
56,24652.0
57,36194.0
58,39720.0
59,22646.0
60,20578.0
61,23422.0
62,21167.0
63,27511.0
64,38244.0
65,37739.0
66,25624.0
67,21481.0
68,21410.0
69,20667.0
70,27250.0
71,39921.0
72,39389.0
73,23949.0
74,20162.0
75,20026.0
76,20616.0
77,31711.0
78,38949.0
79,36338.0
80,29778.0
81,21790.0
82,20896.0
83,21635.0
84,28351.0
85,36604.0
86,36956.0
87,23099.0
88,20189.0
89,20399.0
90,21226.0
91,27449.0
92,37900.0
93,37890.0
94,23986.0
95,22883.0
96,24396.0
97,23669.0
98,32388.0
99,34766.0
100,37735.0
101,25031.0
102,22581.0
103,20375.0
104,20981.0
105,27906.0
106,36492.0
107,36374.0
108,22267.0
109,25355.0
110,28434.0
111,23732.0
112,32489.0
113,40802.0
114,42887.0
115,26870.0
116,23214.0
117,25261.0
118,23408.0
119,31552.0
120,41254.0
121,41881.0
122,28296.0
123,29511.0
124,37318.0
125,36406.0
126,42304.0
127,43230.0
128,43278.0
129,28088.0
130,23276.0
131,23865.0
132,22677.0
133,30872.0
134,40012.0
135,40364.0
136,28313.0
137,26149.0
138,25663.0
139,24453.0
140,30321.0
141,39909.0
142,39940.0
143,24358.0
144,24251.0
145,22778.0
146,24411.0
147,31495.0
148,36797.0
149,36080.0
150,39824.0
151,40526.0
152,39954.0
153,35151.0
154,29317.0
155,32370.0
156,35087.0
157,35516.0
158,36467.0
159,38970.0
160,40144.0
161,40451.0
162,41103.0
163,42786.0
164,32278.0
165,27994.0
166,28237.0
167,28337.0
168,34233.0
169,45759.0
170,43448.0
171,30803.0
172,28996.0
173,30564.0
174,30512.0
175,34729.0
176,44102.0
177,36079.0
178,43081.0
179,32460.0
180,30652.0
181,30229.0
182,36947.0
183,43955.0
184,43084.0
185,33428.0
186,30075.0
187,29726.0
188,28340.0
189,32831.0
190,40751.0
191,44502.0
192,30394.0
193,28279.0
194,29316.0
195,30078.0
196,36916.0
197,46976.0
198,46225.0
199,31203.0
200,29678.0
201,28485.0
202,31010.0
203,37123.0
204,45997.0
205,44700.0
206,42710.0
207,32156.0
208,29214.0
209,28637.0
210,34984.0
211,47439.0
212,46998.0
213,29800.0
214,25838.0
215,31058.0
216,27876.0
217,36521.0
218,48191.0
219,49933.0
220,32712.0
221,32855.0
222,31726.0
223,29212.0
224,37493.0
225,52338.0
226,48936.0
227,31475.0
228,26944.0
229,26464.0
230,26998.0
231,35103.0
232,46798.0
233,45658.0
234,31350.0
235,28018.0
236,28159.0
237,29560.0
238,41187.0
239,44999.0
240,44949.0
241,31513.0
242,30878.0
243,32741.0
244,39122.0
245,43879.0
246,43554.0
247,40665.0
248,36790.0
249,30752.0
250,28548.0
251,28355.0
252,35907.0
253,43863.0
254,43726.0
255,30593.0
256,26904.0
257,26368.0
258,29549.0
259,35237.0
260,48067.0
261,45041.0
262,32079.0
263,27088.0
264,26502.0
265,26045.0
266,32119.0
267,42252.0
268,41638.0
269,30166.0
270,26303.0
271,26677.0
272,28044.0
273,32597.0
274,44455.0
275,44212.0
276,31958.0
277,26413.0
278,26314.0
279,25844.0
280,31613.0
281,40370.0
282,40810.0
283,27098.0
284,23464.0
285,23244.0
286,23170.0
287,28178.0
288,40492.0
289,34651.0
290,23426.0
291,22372.0
292,22651.0
293,22688.0
294,29566.0
295,39713.0
296,38696.0
297,27031.0
298,22065.0
299,22045.0
300,21918.0
301,28297.0
302,37848.0
303,37094.0
304,24108.0
305,22367.0
306,22636.0
307,24387.0
308,30214.0
309,34998.0
310,33452.0
311,31694.0
312,24542.0
313,24558.0
314,24553.0
315,31682.0
316,35217.0
317,34937.0
318,26622.0
319,26773.0
320,26683.0
321,27741.0
322,29656.0
323,32235.0
324,32778.0
325,29474.0
326,29356.0
327,28885.0
328,29284.0
329,31421.0
330,31471.0
331,30509.0
332,30233.0
333,29760.0
334,29326.0
335,29017.0
336,31720.0
337,32037.0
338,31108.0
339,33766.0
340,34121.0
341,34292.0
342,34462.0
343,34456.0
344,31730.0
345,30889.0
346,31789.0
347,34242.0
348,33285.0
349,33278.0
350,34135.0
351,33095.0
352,32274.0
353,32704.0
354,31967.0
355,32382.0
356,31596.0
357,31266.0
358,29560.0
359,30080.0
360,32001.0
361,29949.0
362,31246.0
363,31556.0
364,29604.0
365,27701.0
366,28256.0
367,32497.0
368,31256.0
369,31563.0
370,31890.0
371,31636.0
372,29730.0
373,30023.0
374,32480.0
375,31753.0
376,31732.0
377,30752.0
378,30090.0
379,29734.0
380,29601.0
381,27858.0
382,26037.0
383,26353.0
